i,explanation,fractional positions,,
ICD10CM:K94.10,,2,,
ICD10CM:K94.19,,2,,
ICD10CM:K94.3,,1,,
ICD10CM:K94.30,,2,,
ICD10CM:K94.39,,2,,
ICD10CM:K95,no fractional part,,,
ICD10CM:K95.8,,1,,
ICD10CM:K95.81,,2,,
ICD10CM:K95.89,,2,,
ICD10CM:O00-O9A,range,,,
ICD10CM:O09,no fractional part,,,
ICD10CM:O09.0,,1,,
ICD10CM:O09.00,,2,,
ICD10CM:O09.01,,2,,
ICD10CM:O09.02,,2,,
ICD10CM:O09.03,,2,,
ICD10CM:O09.1,,1,,
ICD10CM:O09.10,,2,,
ICD10CM:O09.11,,2,,
ICD10CM:O09.12,,2,,
ICD10CM:O09.13,,2,,
ICD10CM:O09.2,,1,,
ICD10CM:O09.21,,2,,
ICD10CM:O09.211,,3,,
ICD10CM:O09.212,,3,,
ICD10CM:O09.213,,3,,
ICD10CM:O09.219,,3,,
ICD10CM:O09.29,,2,,
ICD10CM:O09.291,,3,,
ICD10CM:O09.292,,3,,
ICD10CM:O09.293,,3,,
ICD10CM:O09.299,,3,,
ICD10CM:O09.3,,1,,
ICD10CM:O09.30,,2,,
ICD10CM:O09.31,,2,,
ICD10CM:O09.32,,2,,
ICD10CM:O09.33,,2,,
ICD10CM:O09.4,,1,,
ICD10CM:O09.40,,2,,
ICD10CM:O09.41,,2,,
ICD10CM:O09.42,,2,,
ICD10CM:O09.43,,2,,
ICD10CM:O09.5,,1,,
ICD10CM:O09.51,,2,,
ICD10CM:O09.511,,3,,
ICD10CM:O09.512,,3,,
ICD10CM:O09.513,,3,,
ICD10CM:O09.519,,3,,
ICD10CM:O09.52,,2,,
ICD10CM:O09.521,,3,,
ICD10CM:O09.522,,3,,
ICD10CM:O09.523,,3,,
ICD10CM:O09.529,,3,,
ICD10CM:O09.6,,1,,
ICD10CM:O09.61,,2,,
ICD10CM:O09.611,,3,,
ICD10CM:O09.612,,3,,
ICD10CM:O09.613,,3,,
ICD10CM:O09.619,,3,,
ICD10CM:O09.62,,2,,
ICD10CM:O09.621,,3,,
ICD10CM:O09.622,,3,,
ICD10CM:O09.623,,3,,
ICD10CM:O09.629,,3,,
ICD10CM:O09.7,,1,,
ICD10CM:O09.70,,2,,
ICD10CM:O09.71,,2,,
ICD10CM:O09.72,,2,,
ICD10CM:O09.73,,2,,
ICD10CM:O09.8,,1,,
ICD10CM:O09.81,,2,,
ICD10CM:O09.811,,3,,
ICD10CM:O09.812,,3,,
ICD10CM:O09.813,,3,,
ICD10CM:O09.819,,3,,
ICD10CM:O09.82,,2,,
ICD10CM:O09.821,,3,,
ICD10CM:O09.822,,3,,
ICD10CM:O09.823,,3,,
ICD10CM:O09.829,,3,,
ICD10CM:O09.89,,2,,
ICD10CM:O09.891,,3,,
ICD10CM:O09.892,,3,,
ICD10CM:O09.893,,3,,
ICD10CM:O09.899,,3,,
ICD10CM:O09.9,,1,,
ICD10CM:O09.90,,2,,
ICD10CM:O09.91,,2,,
ICD10CM:O09.92,,2,,
ICD10CM:O09.93,,2,,
ICD10CM:O09.A,,1,,
ICD10CM:O09.A0,,2,,
ICD10CM:O09.A1,,2,,
ICD10CM:O09.A2,,2,,
ICD10CM:O09.A3,,2,,
ICD10CM:O09-O09,range,,,
ICD10CM:O10-O16,range,,,
ICD10CM:O12,no fractional part,,,
ICD10CM:O16,no fractional part,,,
ICD10CM:O16.1,,1,,
ICD10CM:O16.2,,1,,
ICD10CM:O16.3,,1,,
ICD10CM:O16.4,,1,,
ICD10CM:O16.5,,1,,
ICD10CM:O16.9,,1,,
ICD10CM:O20-O29,range,,,
ICD10CM:O22,no fractional part,,,
ICD10CM:O22.8,,1,,
ICD10CM:O22.8X,,2,,
ICD10CM:O22.8X1,,3,,
ICD10CM:O22.8X2,,3,,
ICD10CM:O22.8X3,,3,,
ICD10CM:O22.8X9,,3,,
ICD10CM:O22.9,,1,,
ICD10CM:O22.90,,2,,
ICD10CM:O22.91,,2,,
ICD10CM:O22.92,,2,,
ICD10CM:O22.93,,2,,
ICD10CM:O25,no fractional part,,,
ICD10CM:O25.3,,1,,
ICD10CM:O26,no fractional part,,,
ICD10CM:O26.1,,1,,
ICD10CM:O26.10,,2,,
ICD10CM:O26.11,,2,,
ICD10CM:O26.12,,2,,
ICD10CM:O26.13,,2,,
ICD10CM:O26.2,,1,,
ICD10CM:O26.20,,2,,
ICD10CM:O26.21,,2,,
ICD10CM:O26.22,,2,,
ICD10CM:O26.23,,2,,
ICD10CM:O26.9,,1,,
ICD10CM:O26.90,,2,,
ICD10CM:O26.91,,2,,
ICD10CM:O26.92,,2,,
ICD10CM:O26.93,,2,,
ICD10CM:O29,no fractional part,,,
ICD10CM:O29.0,,1,,
ICD10CM:O29.01,,2,,
ICD10CM:O29.011,,3,,
ICD10CM:O29.012,,3,,
ICD10CM:O29.013,,3,,
ICD10CM:O29.019,,3,,
ICD10CM:O29.02,,2,,
ICD10CM:O29.021,,3,,
ICD10CM:O29.022,,3,,
ICD10CM:O29.023,,3,,
ICD10CM:O29.029,,3,,
ICD10CM:O29.09,,2,,
ICD10CM:O29.091,,3,,
ICD10CM:O29.092,,3,,
ICD10CM:O29.093,,3,,
ICD10CM:O29.099,,3,,
ICD10CM:O29.1,,1,,
ICD10CM:O29.11,,2,,
ICD10CM:O29.111,,3,,
ICD10CM:O29.112,,3,,
ICD10CM:O29.113,,3,,
ICD10CM:O29.119,,3,,
ICD10CM:O29.12,,2,,
ICD10CM:O29.121,,3,,
ICD10CM:O29.122,,3,,
ICD10CM:O29.123,,3,,
ICD10CM:O29.129,,3,,
ICD10CM:O29.19,,2,,
ICD10CM:O29.191,,3,,
ICD10CM:O29.192,,3,,
ICD10CM:O29.193,,3,,
ICD10CM:O29.199,,3,,
ICD10CM:O29.2,,1,,
ICD10CM:O29.21,,2,,
ICD10CM:O29.211,,3,,
ICD10CM:O29.212,,3,,
ICD10CM:O29.213,,3,,
ICD10CM:O29.219,,3,,
ICD10CM:O29.29,,2,,
ICD10CM:O29.291,,3,,
ICD10CM:O29.292,,3,,
ICD10CM:O29.293,,3,,
ICD10CM:O29.299,,3,,
ICD10CM:O29.5,,1,,
ICD10CM:O29.5X,,2,,
ICD10CM:O29.5X1,,3,,
ICD10CM:O29.5X2,,3,,
ICD10CM:O29.5X3,,3,,
ICD10CM:O29.5X9,,3,,
ICD10CM:O29.6,,1,,
ICD10CM:O29.60,,2,,
ICD10CM:O29.61,,2,,
ICD10CM:O29.62,,2,,
ICD10CM:O29.63,,2,,
ICD10CM:O29.8,,1,,
ICD10CM:O29.8X,,2,,
ICD10CM:O29.8X1,,3,,
ICD10CM:O29.8X2,,3,,
ICD10CM:O29.8X3,,3,,
ICD10CM:O29.8X9,,3,,
ICD10CM:O29.9,,1,,
ICD10CM:O29.90,,2,,
ICD10CM:O29.91,,2,,
ICD10CM:O29.92,,2,,
ICD10CM:O29.93,,2,,
ICD10CM:O30-O48,range,,,
ICD10CM:O32,no fractional part,,,
ICD10CM:O32.0,,1,,
ICD10CM:O32.0XX0,,4,,
ICD10CM:O32.0XX1,,4,,
ICD10CM:O32.0XX2,,4,,
ICD10CM:O32.0XX3,,4,,
ICD10CM:O32.0XX4,,4,,
ICD10CM:O32.0XX5,,4,,
ICD10CM:O32.0XX9,,4,,
ICD10CM:O32.1,,1,,
ICD10CM:O32.1XX0,,4,,
ICD10CM:O32.1XX1,,4,,
ICD10CM:O32.1XX2,,4,,
ICD10CM:O32.1XX3,,4,,
ICD10CM:O32.1XX4,,4,,
ICD10CM:O32.1XX5,,4,,
ICD10CM:O32.1XX9,,4,,
ICD10CM:O32.2,,1,,
ICD10CM:O32.2XX0,,4,,
ICD10CM:O32.2XX1,,4,,
ICD10CM:O32.2XX2,,4,,
ICD10CM:O32.2XX3,,4,,
ICD10CM:O32.2XX4,,4,,
ICD10CM:O32.2XX5,,4,,
ICD10CM:O32.2XX9,,4,,
ICD10CM:O32.3,,1,,
ICD10CM:O32.3XX0,,4,,
ICD10CM:O32.3XX1,,4,,
ICD10CM:O32.3XX2,,4,,
ICD10CM:O32.3XX3,,4,,
ICD10CM:O32.3XX4,,4,,
ICD10CM:O32.3XX5,,4,,
ICD10CM:O32.3XX9,,4,,
ICD10CM:O32.4,,1,,
ICD10CM:O32.4XX0,,4,,
ICD10CM:O32.4XX1,,4,,
ICD10CM:O32.4XX2,,4,,
ICD10CM:O32.4XX3,,4,,
ICD10CM:O32.4XX4,,4,,
ICD10CM:O32.4XX5,,4,,
ICD10CM:O32.4XX9,,4,,
ICD10CM:O32.6,,1,,
ICD10CM:O32.6XX0,,4,,
ICD10CM:O32.6XX1,,4,,
ICD10CM:O32.6XX2,,4,,
ICD10CM:O32.6XX3,,4,,
ICD10CM:O32.6XX4,,4,,
ICD10CM:O32.6XX5,,4,,
ICD10CM:O32.6XX9,,4,,
ICD10CM:O32.8,,1,,
ICD10CM:O32.8XX0,,4,,
ICD10CM:O32.8XX1,,4,,
ICD10CM:O32.8XX2,,4,,
ICD10CM:O32.8XX3,,4,,
ICD10CM:O32.8XX4,,4,,
ICD10CM:O32.8XX5,,4,,
ICD10CM:O32.8XX9,,4,,
ICD10CM:O32.9,,1,,
ICD10CM:O32.9XX0,,4,,
ICD10CM:O32.9XX1,,4,,
ICD10CM:O32.9XX2,,4,,
ICD10CM:O32.9XX3,,4,,
ICD10CM:O32.9XX4,,4,,
ICD10CM:O32.9XX5,,4,,
ICD10CM:O32.9XX9,,4,,
ICD10CM:O33,no fractional part,,,
ICD10CM:O33.0,,1,,
ICD10CM:O33.1,,1,,
ICD10CM:O33.2,,1,,
ICD10CM:O33.3,,1,,
ICD10CM:O33.3XX0,,4,,
ICD10CM:O33.3XX1,,4,,
ICD10CM:O33.3XX2,,4,,
ICD10CM:O33.3XX3,,4,,
ICD10CM:O33.3XX4,,4,,
ICD10CM:O33.3XX5,,4,,
ICD10CM:O33.3XX9,,4,,
ICD10CM:O33.4,,1,,
ICD10CM:O33.4XX0,,4,,
ICD10CM:O33.4XX1,,4,,
ICD10CM:O33.4XX2,,4,,
ICD10CM:O33.4XX3,,4,,
ICD10CM:O33.4XX4,,4,,
ICD10CM:O33.4XX5,,4,,
ICD10CM:O33.4XX9,,4,,
ICD10CM:O33.5,,1,,
ICD10CM:O33.5XX0,,4,,
ICD10CM:O33.5XX1,,4,,
ICD10CM:O33.5XX2,,4,,
ICD10CM:O33.5XX3,,4,,
ICD10CM:O33.5XX4,,4,,
ICD10CM:O33.5XX5,,4,,
ICD10CM:O33.5XX9,,4,,
ICD10CM:O33.6,,1,,
ICD10CM:O33.6XX0,,4,,
ICD10CM:O33.6XX1,,4,,
ICD10CM:O33.6XX2,,4,,
ICD10CM:O33.6XX3,,4,,
ICD10CM:O33.6XX4,,4,,
ICD10CM:O33.6XX5,,4,,
ICD10CM:O33.6XX9,,4,,
ICD10CM:O33.7,,1,,
ICD10CM:O33.7XX0,,4,,
ICD10CM:O33.7XX1,,4,,
ICD10CM:O33.7XX2,,4,,
ICD10CM:O33.7XX3,,4,,
ICD10CM:O33.7XX4,,4,,
ICD10CM:O33.7XX5,,4,,
ICD10CM:O33.7XX9,,4,,
ICD10CM:O33.8,,1,,
ICD10CM:O33.9,,1,,
ICD10CM:O34,no fractional part,,,
ICD10CM:O34.0,,1,,
ICD10CM:O34.00,,2,,
ICD10CM:O34.01,,2,,
ICD10CM:O34.02,,2,,
ICD10CM:O34.03,,2,,
ICD10CM:O34.1,,1,,
ICD10CM:O34.10,,2,,
ICD10CM:O34.11,,2,,
ICD10CM:O34.12,,2,,
ICD10CM:O34.13,,2,,
ICD10CM:O34.2,,1,,
ICD10CM:O34.21,,2,,
ICD10CM:O34.211,,3,,
ICD10CM:O34.212,,3,,
ICD10CM:O34.219,,3,,
ICD10CM:O34.29,,2,,
ICD10CM:O34.3,,1,,
ICD10CM:O34.30,,2,,
ICD10CM:O34.31,,2,,
ICD10CM:O34.32,,2,,
ICD10CM:O34.33,,2,,
ICD10CM:O34.4,,1,,
ICD10CM:O34.40,,2,,
ICD10CM:O34.41,,2,,
ICD10CM:O34.42,,2,,
ICD10CM:O34.43,,2,,
ICD10CM:O34.5,,1,,
ICD10CM:O34.51,,2,,
ICD10CM:O34.511,,3,,
ICD10CM:O34.512,,3,,
ICD10CM:O34.513,,3,,
ICD10CM:O34.519,,3,,
ICD10CM:O34.52,,2,,
ICD10CM:O34.521,,3,,
ICD10CM:O34.522,,3,,
ICD10CM:O34.523,,3,,
ICD10CM:O34.529,,3,,
ICD10CM:O34.53,,2,,
ICD10CM:O34.531,,3,,
ICD10CM:O34.532,,3,,
ICD10CM:O34.533,,3,,
ICD10CM:O34.539,,3,,
ICD10CM:O34.59,,2,,
ICD10CM:O34.591,,3,,
ICD10CM:O34.592,,3,,
ICD10CM:O34.593,,3,,
ICD10CM:O34.599,,3,,
ICD10CM:O34.6,,1,,
ICD10CM:O34.60,,2,,
ICD10CM:O34.61,,2,,
ICD10CM:O34.62,,2,,
ICD10CM:O34.63,,2,,
ICD10CM:O34.7,,1,,
ICD10CM:O34.70,,2,,
ICD10CM:O34.71,,2,,
ICD10CM:O34.72,,2,,
ICD10CM:O34.73,,2,,
ICD10CM:O34.8,,1,,
ICD10CM:O34.80,,2,,
ICD10CM:O34.81,,2,,
ICD10CM:O34.82,,2,,
ICD10CM:O34.83,,2,,
ICD10CM:O34.9,,1,,
ICD10CM:O34.90,,2,,
ICD10CM:O34.91,,2,,
ICD10CM:O34.92,,2,,
ICD10CM:O34.93,,2,,
ICD10CM:O35,no fractional part,,,
ICD10CM:O35.0,,1,,
ICD10CM:O35.0XX0,,4,,
ICD10CM:O35.0XX1,,4,,
ICD10CM:O35.0XX2,,4,,
ICD10CM:O35.0XX3,,4,,
ICD10CM:O35.0XX4,,4,,
ICD10CM:O35.0XX5,,4,,
ICD10CM:O35.0XX9,,4,,
ICD10CM:O35.1,,1,,
ICD10CM:O35.1XX0,,4,,
ICD10CM:O35.1XX1,,4,,
ICD10CM:O35.1XX2,,4,,
ICD10CM:O35.1XX3,,4,,
ICD10CM:O35.1XX4,,4,,
ICD10CM:O35.1XX5,,4,,
ICD10CM:O35.1XX9,,4,,
ICD10CM:O35.2,,1,,
ICD10CM:O35.2XX0,,4,,
ICD10CM:O35.2XX1,,4,,
ICD10CM:O35.2XX2,,4,,
ICD10CM:O35.2XX3,,4,,
ICD10CM:O35.2XX4,,4,,
ICD10CM:O35.2XX5,,4,,
ICD10CM:O35.2XX9,,4,,
ICD10CM:O35.3,,1,,
ICD10CM:O35.3XX0,,4,,
ICD10CM:O35.3XX1,,4,,
ICD10CM:O35.3XX2,,4,,
ICD10CM:O35.3XX3,,4,,
ICD10CM:O35.3XX4,,4,,
ICD10CM:O35.3XX5,,4,,
ICD10CM:O35.3XX9,,4,,
ICD10CM:O35.4,,1,,
ICD10CM:O35.4XX0,,4,,
ICD10CM:O35.4XX1,,4,,
ICD10CM:O35.4XX2,,4,,
ICD10CM:O35.4XX3,,4,,
ICD10CM:O35.4XX4,,4,,
ICD10CM:O35.4XX5,,4,,
ICD10CM:O35.4XX9,,4,,
ICD10CM:O35.5,,1,,
ICD10CM:O35.5XX0,,4,,
ICD10CM:O35.5XX1,,4,,
ICD10CM:O35.5XX2,,4,,
ICD10CM:O35.5XX3,,4,,
ICD10CM:O35.5XX4,,4,,
ICD10CM:O35.5XX5,,4,,
ICD10CM:O35.5XX9,,4,,
ICD10CM:O35.6,,1,,
ICD10CM:O35.6XX0,,4,,
ICD10CM:O35.6XX1,,4,,
ICD10CM:O35.6XX2,,4,,
ICD10CM:O35.6XX3,,4,,
ICD10CM:O35.6XX4,,4,,
ICD10CM:O35.6XX5,,4,,
ICD10CM:O35.6XX9,,4,,
ICD10CM:O35.7,,1,,
ICD10CM:O35.7XX0,,4,,
ICD10CM:O35.7XX1,,4,,
ICD10CM:O35.7XX2,,4,,
ICD10CM:O35.7XX3,,4,,
ICD10CM:O35.7XX4,,4,,
ICD10CM:O35.7XX5,,4,,
ICD10CM:O35.7XX9,,4,,
ICD10CM:O35.8,,1,,
ICD10CM:O35.8XX0,,4,,
ICD10CM:O35.8XX1,,4,,
ICD10CM:O35.8XX2,,4,,
ICD10CM:O35.8XX3,,4,,
ICD10CM:O35.8XX4,,4,,
ICD10CM:O35.8XX5,,4,,
ICD10CM:O35.8XX9,,4,,
ICD10CM:O35.9,,1,,
ICD10CM:O35.9XX0,,4,,
ICD10CM:O35.9XX1,,4,,
ICD10CM:O35.9XX2,,4,,
ICD10CM:O35.9XX3,,4,,
ICD10CM:O35.9XX4,,4,,
ICD10CM:O35.9XX5,,4,,
ICD10CM:O35.9XX9,,4,,
ICD10CM:O36,no fractional part,,,
ICD10CM:O36.0,,1,,
ICD10CM:O36.01,,2,,
ICD10CM:O36.011,,3,,
ICD10CM:O36.0110,,4,,
ICD10CM:O36.0111,,4,,
ICD10CM:O36.0112,,4,,
ICD10CM:O36.0113,,4,,
ICD10CM:O36.0114,,4,,
ICD10CM:O36.0115,,4,,
ICD10CM:O36.0119,,4,,
ICD10CM:O36.012,,3,,
ICD10CM:O36.0120,,4,,
ICD10CM:O36.0121,,4,,
ICD10CM:O36.0122,,4,,
ICD10CM:O36.0123,,4,,
ICD10CM:O36.0124,,4,,
ICD10CM:O36.0125,,4,,
ICD10CM:O36.0129,,4,,
ICD10CM:O36.013,,3,,
ICD10CM:O36.0130,,4,,
ICD10CM:O36.0131,,4,,
ICD10CM:O36.0132,,4,,
ICD10CM:O36.0133,,4,,
ICD10CM:O36.0134,,4,,
ICD10CM:O36.0135,,4,,
ICD10CM:O36.0139,,4,,
ICD10CM:O36.019,,3,,
ICD10CM:O36.0190,,4,,
ICD10CM:O36.0191,,4,,
ICD10CM:O36.0192,,4,,
ICD10CM:O36.0193,,4,,
ICD10CM:O36.0194,,4,,
ICD10CM:O36.0195,,4,,
ICD10CM:O36.0199,,4,,
ICD10CM:O36.09,,2,,
ICD10CM:O36.091,,3,,
ICD10CM:O36.0910,,4,,
ICD10CM:O36.0911,,4,,
ICD10CM:O36.0912,,4,,
ICD10CM:O36.0913,,4,,
ICD10CM:O36.0914,,4,,
ICD10CM:O36.0915,,4,,
ICD10CM:O36.0919,,4,,
ICD10CM:O36.092,,3,,
ICD10CM:O36.0920,,4,,
ICD10CM:O36.0921,,4,,
ICD10CM:O36.0922,,4,,
ICD10CM:O36.0923,,4,,
ICD10CM:O36.0924,,4,,
ICD10CM:O36.0925,,4,,
ICD10CM:O36.0929,,4,,
ICD10CM:O36.093,,3,,
ICD10CM:O36.0930,,4,,
ICD10CM:O36.0931,,4,,
ICD10CM:O36.0932,,4,,
ICD10CM:O36.0933,,4,,
ICD10CM:O36.0934,,4,,
ICD10CM:O36.0935,,4,,
ICD10CM:O36.0939,,4,,
ICD10CM:O36.099,,3,,
ICD10CM:O36.0990,,4,,
ICD10CM:O36.0991,,4,,
ICD10CM:O36.0992,,4,,
ICD10CM:O36.0993,,4,,
ICD10CM:O36.0994,,4,,
ICD10CM:O36.0995,,4,,
ICD10CM:O36.0999,,4,,
ICD10CM:O36.1,,1,,
ICD10CM:O36.11,,2,,
ICD10CM:O36.111,,3,,
ICD10CM:O36.1110,,4,,
ICD10CM:O36.1111,,4,,
ICD10CM:O36.1112,,4,,
ICD10CM:O36.1113,,4,,
ICD10CM:O36.1114,,4,,
ICD10CM:O36.1115,,4,,
ICD10CM:O36.1119,,4,,
ICD10CM:O36.112,,3,,
ICD10CM:O36.1120,,4,,
ICD10CM:O36.1121,,4,,
ICD10CM:O36.1122,,4,,
ICD10CM:O36.1123,,4,,
ICD10CM:O36.1124,,4,,
ICD10CM:O36.1125,,4,,
ICD10CM:O36.1129,,4,,
ICD10CM:O36.113,,3,,
ICD10CM:O36.1130,,4,,
ICD10CM:O36.1131,,4,,
ICD10CM:O36.1132,,4,,
ICD10CM:O36.1133,,4,,
ICD10CM:O36.1134,,4,,
ICD10CM:O36.1135,,4,,
ICD10CM:O36.1139,,4,,
ICD10CM:O36.119,,3,,
ICD10CM:O36.1190,,4,,
ICD10CM:O36.1191,,4,,
ICD10CM:O36.1192,,4,,
ICD10CM:O36.1193,,4,,
ICD10CM:O36.1194,,4,,
ICD10CM:O36.1195,,4,,
ICD10CM:O36.1199,,4,,
ICD10CM:O36.19,,2,,
ICD10CM:O36.191,,3,,
ICD10CM:O36.1910,,4,,
ICD10CM:O36.1911,,4,,
ICD10CM:O36.1912,,4,,
ICD10CM:O36.1913,,4,,
ICD10CM:O36.1914,,4,,
ICD10CM:O36.1915,,4,,
ICD10CM:O36.1919,,4,,
ICD10CM:O36.192,,3,,
ICD10CM:O36.1920,,4,,
ICD10CM:O36.1921,,4,,
ICD10CM:O36.1922,,4,,
ICD10CM:O36.1923,,4,,
ICD10CM:O36.1924,,4,,
ICD10CM:O36.1925,,4,,
ICD10CM:O36.1929,,4,,
ICD10CM:O36.193,,3,,
ICD10CM:O36.1930,,4,,
ICD10CM:O36.1931,,4,,
ICD10CM:O36.1932,,4,,
ICD10CM:O36.1933,,4,,
ICD10CM:O36.1934,,4,,
ICD10CM:O36.1935,,4,,
ICD10CM:O36.1939,,4,,
ICD10CM:O36.199,,3,,
ICD10CM:O36.1990,,4,,
ICD10CM:O36.1991,,4,,
ICD10CM:O36.1992,,4,,
ICD10CM:O36.1993,,4,,
ICD10CM:O36.1994,,4,,
ICD10CM:O36.1995,,4,,
ICD10CM:O36.1999,,4,,
ICD10CM:O36.2,,1,,
ICD10CM:O36.20,,2,,
ICD10CM:O36.20X0,,4,,
ICD10CM:O36.20X1,,4,,
ICD10CM:O36.20X2,,4,,
ICD10CM:O36.20X3,,4,,
ICD10CM:O36.20X4,,4,,
ICD10CM:O36.20X5,,4,,
ICD10CM:O36.20X9,,4,,
ICD10CM:O36.21,,2,,
ICD10CM:O36.21X0,,4,,
ICD10CM:O36.21X1,,4,,
ICD10CM:O36.21X2,,4,,
ICD10CM:O36.21X3,,4,,
ICD10CM:O36.21X4,,4,,
ICD10CM:O36.21X5,,4,,
ICD10CM:O36.21X9,,4,,
ICD10CM:O36.22,,2,,
ICD10CM:O36.22X0,,4,,
ICD10CM:O36.22X1,,4,,
ICD10CM:O36.22X2,,4,,
ICD10CM:O36.22X3,,4,,
ICD10CM:O36.22X4,,4,,
ICD10CM:O36.22X5,,4,,
ICD10CM:O36.22X9,,4,,
ICD10CM:O36.23,,2,,
ICD10CM:O36.23X0,,4,,
ICD10CM:O36.23X1,,4,,
ICD10CM:O36.23X2,,4,,
ICD10CM:O36.23X3,,4,,
ICD10CM:O36.23X4,,4,,
ICD10CM:O36.23X5,,4,,
ICD10CM:O36.23X9,,4,,
ICD10CM:O36.4,,1,,
ICD10CM:O36.4XX0,,4,,
ICD10CM:O36.4XX1,,4,,
ICD10CM:O36.4XX2,,4,,
ICD10CM:O36.4XX3,,4,,
ICD10CM:O36.4XX4,,4,,
ICD10CM:O36.4XX5,,4,,
ICD10CM:O36.4XX9,,4,,
ICD10CM:O36.6,,1,,
ICD10CM:O36.60,,2,,
ICD10CM:O36.60X0,,4,,
ICD10CM:O36.60X1,,4,,
ICD10CM:O36.60X2,,4,,
ICD10CM:O36.60X3,,4,,
ICD10CM:O36.60X4,,4,,
ICD10CM:O36.60X5,,4,,
ICD10CM:O36.60X9,,4,,
ICD10CM:O36.61,,2,,
ICD10CM:O36.61X0,,4,,
ICD10CM:O36.61X1,,4,,
ICD10CM:O36.61X2,,4,,
ICD10CM:O36.61X3,,4,,
ICD10CM:O36.61X4,,4,,
ICD10CM:O36.61X5,,4,,
ICD10CM:O36.61X9,,4,,
ICD10CM:O36.62,,2,,
ICD10CM:O36.62X0,,4,,
ICD10CM:O36.62X1,,4,,
ICD10CM:O36.62X2,,4,,
ICD10CM:O36.62X3,,4,,
ICD10CM:O36.62X4,,4,,
ICD10CM:O36.62X5,,4,,
ICD10CM:O36.62X9,,4,,
ICD10CM:O36.63,,2,,
ICD10CM:O36.63X0,,4,,
ICD10CM:O36.63X1,,4,,
ICD10CM:O36.63X2,,4,,
ICD10CM:O36.63X3,,4,,
ICD10CM:O36.63X4,,4,,
ICD10CM:O36.63X5,,4,,
ICD10CM:O36.63X9,,4,,
ICD10CM:O36.7,,1,,
ICD10CM:O36.70,,2,,
ICD10CM:O36.70X0,,4,,
ICD10CM:O36.70X1,,4,,
ICD10CM:O36.70X2,,4,,
ICD10CM:O36.70X3,,4,,
ICD10CM:O36.70X4,,4,,
ICD10CM:O36.70X5,,4,,
ICD10CM:O36.70X9,,4,,
ICD10CM:O36.71,,2,,
ICD10CM:O36.71X0,,4,,
ICD10CM:O36.71X1,,4,,
ICD10CM:O36.71X2,,4,,
ICD10CM:O36.71X3,,4,,
ICD10CM:O36.71X4,,4,,
ICD10CM:O36.71X5,,4,,
ICD10CM:O36.71X9,,4,,
ICD10CM:O36.72,,2,,
ICD10CM:O36.72X0,,4,,
ICD10CM:O36.72X1,,4,,
ICD10CM:O36.72X2,,4,,
ICD10CM:O36.72X3,,4,,
ICD10CM:O36.72X4,,4,,
ICD10CM:O36.72X5,,4,,
ICD10CM:O36.72X9,,4,,
ICD10CM:O36.73,,2,,
ICD10CM:O36.73X0,,4,,
ICD10CM:O36.73X1,,4,,
ICD10CM:O36.73X2,,4,,
ICD10CM:O36.73X3,,4,,
ICD10CM:O36.73X4,,4,,
ICD10CM:O36.73X5,,4,,
ICD10CM:O36.73X9,,4,,
ICD10CM:O36.8,,1,,
ICD10CM:O36.80,,2,,
ICD10CM:O36.80X0,,4,,
ICD10CM:O36.80X1,,4,,
ICD10CM:O36.80X2,,4,,
ICD10CM:O36.80X3,,4,,
ICD10CM:O36.80X4,,4,,
ICD10CM:O36.80X5,,4,,
ICD10CM:O36.80X9,,4,,
ICD10CM:O36.81,,2,,
ICD10CM:O36.812,,3,,
ICD10CM:O36.8120,,4,,
ICD10CM:O36.8121,,4,,
ICD10CM:O36.8122,,4,,
ICD10CM:O36.8123,,4,,
ICD10CM:O36.8124,,4,,
ICD10CM:O36.8125,,4,,
ICD10CM:O36.8129,,4,,
ICD10CM:O36.813,,3,,
ICD10CM:O36.8130,,4,,
ICD10CM:O36.8131,,4,,
ICD10CM:O36.8132,,4,,
ICD10CM:O36.8133,,4,,
ICD10CM:O36.8134,,4,,
ICD10CM:O36.8135,,4,,
ICD10CM:O36.8139,,4,,
ICD10CM:O36.819,,3,,
ICD10CM:O36.8190,,4,,
ICD10CM:O36.8191,,4,,
ICD10CM:O36.8192,,4,,
ICD10CM:O36.8193,,4,,
ICD10CM:O36.8194,,4,,
ICD10CM:O36.8195,,4,,
ICD10CM:O36.8199,,4,,
ICD10CM:O36.82,,2,,
ICD10CM:O36.821,,3,,
ICD10CM:O36.8210,,4,,
ICD10CM:O36.8211,,4,,
ICD10CM:O36.8212,,4,,
ICD10CM:O36.8213,,4,,
ICD10CM:O36.8214,,4,,
ICD10CM:O36.8215,,4,,
ICD10CM:O36.8219,,4,,
ICD10CM:O36.822,,3,,
ICD10CM:O36.8220,,4,,
ICD10CM:O36.8221,,4,,
ICD10CM:O36.8222,,4,,
ICD10CM:O36.8223,,4,,
ICD10CM:O36.8224,,4,,
ICD10CM:O36.8225,,4,,
ICD10CM:O36.8229,,4,,
ICD10CM:O36.823,,3,,
ICD10CM:O36.8230,,4,,
ICD10CM:O36.8231,,4,,
ICD10CM:O36.8232,,4,,
ICD10CM:O36.8233,,4,,
ICD10CM:O36.8234,,4,,
ICD10CM:O36.8235,,4,,
ICD10CM:O36.8239,,4,,
ICD10CM:O36.829,,3,,
ICD10CM:O36.8290,,4,,
ICD10CM:O36.8291,,4,,
ICD10CM:O36.8292,,4,,
ICD10CM:O36.8293,,4,,
